F197D  SITELEN PONA IDEOGRAPH MONSUTA
F197E  SITELEN PONA IDEOGRAPH TONSI
F197F  SITELEN PONA IDEOGRAPH JASIMA
F1980  SITELEN PONA IDEOGRAPH KIJETESANTAKALU
F1981  SITELEN PONA IDEOGRAPH SOKO
F1982  SITELEN PONA IDEOGRAPH MESO
F1983  SITELEN PONA IDEOGRAPH EPIKU
F1984  SITELEN PONA IDEOGRAPH KOKOSILA
F1985  SITELEN PONA IDEOGRAPH LANPAN
F1986  SITELEN PONA IDEOGRAPH N
F1987  SITELEN PONA IDEOGRAPH MISIKEKE
F1988  SITELEN PONA IDEOGRAPH KU

F199C  SITELEN PONA MIDDLE DOT
F199D  SITELEN PONA COLON

F19A0  SITELEN PONA IDEOGRAPH PAKE
F19A1  SITELEN PONA IDEOGRAPH APEJA
F19A2  SITELEN PONA IDEOGRAPH MAJUNA
F19A3  SITELEN PONA IDEOGRAPH POWE
